,Change
0,-0.0020658311527337325
1,0.002070107645597563
2,0.0022035532295827664
3,-0.010718702762127275
4,-0.021114043617169065
5,0.07889882219384137
6,0.046429041167959983
7,-0.005907491201608828
8,-0.016689847009735748
9,-0.06429214350006429
10,0.0137419266181118
12,-0.00649081618560976
13,0.027661940505977256
14,-0.06952522656567028
15,0.008140718127634727
16,0.007786589762076357
17,0.03376734869079989
18,0.004429065743944527
19,-0.023976849937990874
20,-0.003811944091486663
21,0.11989795918367352
22,-0.0025310048089091097
23,-0.030068510530322223
24,-0.0034009156311314293
25,-0.012337577109856945
26,0.04119601328903655
27,0.037396298659859495
29,-0.02132672039677619
30,0.019891042696059902
31,0.0
32,0.01826086956521733
33,-0.014761498109064242
34,-0.02402179296681528
35,-0.02600862725196651
36,-0.014979809821544898
37,0.018116900290928273
38,-0.02324977269775297
39,0.012499999999999956
40,0.027580772261623254
41,0.022878323108384446
42,-0.0026240159940023045
43,0.0
44,0.0
45,0.06577298922575792
46,0.017162336899024355
47,0.0012712354096844347
48,0.006117266851338954
49,0.04336354250315466
50,0.10731170973062132
51,-0.014596365802800104
52,-0.09834744054816602
53,-0.01408135896289675
54,0.011902063024257448
55,-0.032933796348157296
56,0.0048650527047375824
57,0.039884726224783895
58,-0.024498392639397015
59,0.0061363636363636065
60,0.010616670431443431
61,0.03766204738489054
62,0.02477113624124927
63,0.01765633210719919
64,-0.011979758339357605
66,0.008525061626951436
67,0.010693553315001436
68,-0.031741233373639655
69,0.01415339785617653
70,0.018368394048229764
71,0.028617492946392487
72,0.043299373040752265
73,0.08075117370892015
74,0.0009556907037358009
75,-0.029250933078725838
76,0.04613733905579398
77,-0.021623931623931614
78,-0.040359919629597285
79,0.0
80,0.008557123350022788
81,0.014261214911093001
82,-0.05045830737741386
83,0.018650421743205303
84,-0.06274726285766863
85,-0.061843526062628884
86,0.11970283561787176
87,-0.011681151294271608
88,-0.07753403933434189
89,-0.11951619516195167
90,0.052619324796274736
91,0.0685689006856891
92,0.003311943696957087
93,0.04002475758200941
94,-0.010414600277722674
95,-0.010524205673048015
96,0.07222447325769865
97,0.07151629664619752
99,-0.00810694264769296
100,0.004521345969915602
101,-0.09192417553882104
102,-0.00486130969402343
103,0.04818007662835244
104,-0.010509001187974043
105,0.019394163280384236
106,0.0037144410219243085
108,0.029120828325783554
109,0.004671218109953301
110,-0.02440987124463523
111,0.017413619283292103
112,0.051977299342401695
113,-0.010703887651995259
114,-0.011858391759716036
115,-0.012876664330763843
116,0.01765906469074463
117,-0.0008719916288804086
118,0.008291150288008309
119,0.02631351164199769
120,0.018638778780467158
121,-0.002649445272396078
122,-0.03669267806740828
124,-0.015493811131307877
125,-0.0028134341480570146
126,-0.044436607300299746
127,0.0
128,0.022236575013840243
129,-0.005686433793663737
130,-0.05147058823529416
131,0.009187482055699192
132,0.005879563774300545
133,0.05354954275478452
134,-0.018791946308724827
135,0.04888280893752861
136,-0.03112772802365016
137,-0.01597415417751058
138,-0.04322845417236665
139,0.0
140,-0.008960061004670616
141,-0.07069346926998177
142,0.05319809563237432
143,-0.019555817610062864
144,-0.010524205673048015
145,-0.013776337115072979
146,0.024753492193919424
147,-0.010524205673048015
148,-0.009623176661264221
149,0.02372916027411276
150,-0.01898291537616148
151,0.006416131989000817
152,0.02661404573972881
153,0.029078363725973277
154,-0.03534482758620694
155,0.001092245060073438
156,0.01775441380678444
157,-0.0021440405418575725
158,0.005176286746752634
159,0.003109211037699122
160,0.020340953118946237
161,0.006929941142965745
162,0.0
163,-0.024794946733289303
164,0.0
165,0.09957463263727773
166,0.005538948478987171
167,0.0008743551630672197
169,-0.02212118562560117
170,-0.041219599427753884
171,-0.0010258323230438737
172,-0.0196041822255415
173,0.01704437250047608
174,-0.036419810879131154
175,0.0009716284492808924
176,0.0
177,0.04892253931275481
178,0.007866000370164716
179,-0.02993297217886326
180,-0.026881211547562733
181,-0.03472424861394807
182,-0.004232164449818665
183,0.023477028941509825
184,-0.00316393118449676
185,0.01150565364015077
186,-0.025789370464797012
187,-0.010568696527428312
188,0.014954221770091536
189,0.007417059236243251
190,0.029151328226047157
191,-0.03547950502706887
192,0.0063145234038288756
193,-0.027191235059760954
194,0.012900583597829529
195,0.019104417264732554
196,-0.010414600277722674
197,-0.05161872306304505
198,-0.05104629042485731
199,0.011693952555963838
200,0.005834434169969205
201,0.005691145890335925
202,-0.027424094025465195
203,0.04587669240237213
204,-0.02364394993045893
205,0.0012053473591935315
206,0.02867461967823126
207,0.002340674539844656
208,-0.026748752786328378
209,-0.016141345839240873
210,-0.01042013080589732
211,0.0
212,0.012882267279041182
213,-0.005750940057509424
214,0.05717463848720805
215,-0.01220538720538722
216,-0.01789518534299106
217,0.013774403470715901
218,-0.02910024606825723
219,0.002203856749311228
220,0.016162726772952274
221,-0.005734689461155629
222,0.005767765806943048
224,0.0047666555814211975
225,-0.008164165931156209
226,0.02803114571746379
227,-0.005734689461155629
228,0.011426705843943896
229,0.010114052076608537
230,-0.03792074989348104
231,-0.008082373782108077
232,-0.07154816385757334
233,0.016350084154844957
234,0.0
235,0.014785900165602106
236,-0.0010490733185686274
237,0.010968494749124869
238,0.008541089566020288
239,-0.019226367589837534
240,-0.01225204200700114
241,-0.0036621382161843297
242,0.002371354043158691
243,-0.01738821859474804
245,-0.0075358851674640626
246,-0.0050620706279378425
247,0.017807389460932743
248,0.04368007617233993
249,0.04436081651271517
250,-0.013758462546407557
251,-0.011625332152347179
252,0.005825025204436063
253,0.03407951887738059
254,0.0235864297253634
255,0.01104797979797989
