,Date,Change
0,2004-01-02,-0.0020658311527337325
1,2004-01-05,0.002070107645597563
2,2004-01-06,0.0022035532295827664
3,2004-01-07,-0.010718702762127275
4,2004-01-08,-0.021114043617169065
5,2004-01-09,0.07889882219384137
6,2004-01-12,0.046429041167959983
7,2004-01-13,-0.005907491201608828
8,2004-01-14,-0.016689847009735748
9,2004-01-15,-0.06429214350006429
10,2004-01-16,0.0137419266181118
11,2004-01-20,-0.00649081618560976
12,2004-01-26,0.027661940505977256
13,2004-01-27,-0.06952522656567028
14,2004-01-28,0.008140718127634727
15,2004-01-29,0.007786589762076357
16,2004-01-30,0.03376734869079989
17,2004-02-02,0.004429065743944527
18,2004-02-03,-0.023976849937990874
19,2004-02-04,-0.003811944091486663
20,2004-02-05,0.11989795918367352
21,2004-02-06,-0.0025310048089091097
22,2004-02-09,-0.030068510530322223
23,2004-02-10,-0.0034009156311314293
24,2004-02-11,-0.012337577109856945
25,2004-02-12,0.04119601328903655
26,2004-02-13,0.037396298659859495
27,2004-02-17,-0.02132672039677619
28,2004-02-18,0.019891042696059902
29,2004-02-19,0.0
30,2004-02-20,0.01826086956521733
31,2004-02-23,-0.014761498109064242
32,2004-02-24,-0.02402179296681528
33,2004-02-25,-0.02600862725196651
34,2004-02-26,-0.014979809821544898
35,2004-02-27,0.018116900290928273
36,2004-03-02,-0.02324977269775297
37,2004-03-03,0.012499999999999956
38,2004-03-04,0.027580772261623254
39,2004-03-05,0.022878323108384446
40,2004-03-08,-0.0026240159940023045
41,2004-03-09,0.0
42,2004-03-10,0.0
43,2004-03-11,0.06577298922575792
44,2004-03-12,0.017162336899024355
45,2004-03-15,0.0012712354096844347
46,2004-03-16,0.006117266851338954
47,2004-03-17,0.04336354250315466
48,2004-03-18,0.10731170973062132
49,2004-03-19,-0.014596365802800104
50,2004-03-22,-0.09834744054816602
51,2004-03-23,-0.01408135896289675
52,2004-03-24,0.011902063024257448
53,2004-03-25,-0.032933796348157296
54,2004-03-26,0.0048650527047375824
55,2004-03-29,0.039884726224783895
56,2004-03-30,-0.024498392639397015
57,2004-03-31,0.0061363636363636065
58,2004-04-01,0.010616670431443431
59,2004-04-02,0.03766204738489054
60,2004-04-06,0.02477113624124927
61,2004-04-07,0.01765633210719919
62,2004-04-08,-0.011979758339357605
63,2004-04-12,0.008525061626951436
64,2004-04-13,0.010693553315001436
65,2004-04-14,-0.031741233373639655
66,2004-04-16,0.01415339785617653
67,2004-04-19,0.018368394048229764
68,2004-04-20,0.028617492946392487
69,2004-04-21,0.043299373040752265
70,2004-04-22,0.08075117370892015
71,2004-04-23,0.0009556907037358009
72,2004-04-26,-0.029250933078725838
73,2004-04-27,0.04613733905579398
74,2004-04-28,-0.021623931623931614
75,2004-04-29,-0.040359919629597285
76,2004-04-30,0.0
77,2004-05-03,0.008557123350022788
78,2004-05-04,0.014261214911093001
79,2004-05-06,-0.05045830737741386
80,2004-05-07,0.018650421743205303
81,2004-05-10,-0.06274726285766863
82,2004-05-11,-0.061843526062628884
83,2004-05-12,0.11970283561787176
84,2004-05-13,-0.011681151294271608
85,2004-05-14,-0.07753403933434189
86,2004-05-17,-0.11951619516195167
87,2004-05-18,0.052619324796274736
88,2004-05-19,0.0685689006856891
89,2004-05-20,0.003311943696957087
90,2004-05-21,0.04002475758200941
91,2004-05-24,-0.010414600277722674
92,2004-05-25,-0.010524205673048015
93,2004-05-27,0.07222447325769865
94,2004-05-28,0.07151629664619752
95,2004-06-01,-0.00810694264769296
96,2004-06-02,0.004521345969915602
97,2004-06-03,-0.09192417553882104
98,2004-06-04,-0.00486130969402343
99,2004-06-07,0.04818007662835244
100,2004-06-08,-0.010509001187974043
101,2004-06-09,0.019394163280384236
102,2004-06-10,0.0037144410219243085
103,2004-06-14,0.029120828325783554
104,2004-06-15,0.004671218109953301
105,2004-06-16,-0.02440987124463523
106,2004-06-17,0.017413619283292103
107,2004-06-18,0.051977299342401695
108,2004-06-21,-0.010703887651995259
109,2004-06-22,-0.011858391759716036
110,2004-06-23,-0.012876664330763843
111,2004-06-24,0.01765906469074463
112,2004-06-25,-0.0008719916288804086
113,2004-06-28,0.008291150288008309
114,2004-06-29,0.02631351164199769
115,2004-06-30,0.018638778780467158
116,2004-07-01,-0.002649445272396078
117,2004-07-02,-0.03669267806740828
118,2004-07-06,-0.015493811131307877
119,2004-07-07,-0.0028134341480570146
120,2004-07-08,-0.044436607300299746
121,2004-07-09,0.0
122,2004-07-12,0.022236575013840243
123,2004-07-13,-0.005686433793663737
124,2004-07-14,-0.05147058823529416
125,2004-07-15,0.009187482055699192
126,2004-07-16,0.005879563774300545
127,2004-07-19,0.05354954275478452
128,2004-07-20,-0.018791946308724827
129,2004-07-21,0.04888280893752861
130,2004-07-22,-0.03112772802365016
131,2004-07-23,-0.01597415417751058
132,2004-07-26,-0.04322845417236665
133,2004-07-27,0.0
134,2004-07-28,-0.008960061004670616
135,2004-07-29,-0.07069346926998177
136,2004-07-30,0.05319809563237432
137,2004-08-02,-0.019555817610062864
138,2004-08-03,-0.010524205673048015
139,2004-08-04,-0.013776337115072979
140,2004-08-05,0.024753492193919424
141,2004-08-06,-0.010524205673048015
142,2004-08-09,-0.009623176661264221
143,2004-08-10,0.02372916027411276
144,2004-08-11,-0.01898291537616148
145,2004-08-12,0.006416131989000817
146,2004-08-13,0.02661404573972881
147,2004-08-16,0.029078363725973277
148,2004-08-17,-0.03534482758620694
149,2004-08-18,0.001092245060073438
150,2004-08-19,0.01775441380678444
151,2004-08-20,-0.0021440405418575725
